cognome,nome,classe,disciplina,data_valutazione,voto,tipo
Lippomano,Alessandro,4BIT,Informatica,2023-10-16,3.7,pratico
Mezzetta,Marcello,4BIT,Lingua e Letteratura Italiana,2023-11-16,5.8,scritto
Cipolla,Federica,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-05,9.2,pratico
Matteotti,Patrizia,3BIT,Lingua Inglese,2023-09-21,6.0,scritto
Roero,Alberto,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-19,4.6,pratico
Coardi,Franco,4BIT,Matematica,2024-03-10,3.7,scritto
Pontecorvo,Mirko,5CIT,Informatica,2024-03-27,8.5,orale
Soranzo,Raffaellino,4BIT,Lingua e Letteratura Italiana,2023-09-28,3.3,pratico
Petrocelli,Anita,3BIT,Religione Cattolica,2023-12-07,9.9,orale
Alfieri,Ivan,3BIT,Lingua e Letteratura Italiana,2024-02-21,6.3,scritto
Tamburini,Gemma,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-08,4.0,scritto
Blasi,Mirko,4BIT,Matematica,2024-04-10,7.3,orale
Lippomano,Alessandro,4BIT,Religione Cattolica,2023-10-03,7.0,orale
Seddio,Germana,3BIT,Lingua e Letteratura Italiana,2023-10-03,8.1,orale
Coardi,Franco,4BIT,Informatica,2024-05-14,9.6,scritto
Monte,Berenice,3BIT,Scienze Motorie e Sportive,2024-04-28,8.0,scritto
Petrocelli,Manuel,4BIT,Informatica,2024-05-02,5.0,orale
Dossetti,Liberto,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-26,4.2,pratico
Palmisano,Allegra,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-21,9.8,pratico
Cafarchia,Alessandro,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-19,6.2,pratico
Ceri,Augusto,4BIT,Storia,2023-11-19,6.1,pratico
Tamburini,Gemma,4BIT,Storia,2024-05-19,4.8,pratico
Taliani,Maurizio,4BIT,Lingua Inglese,2023-10-24,8.0,orale
Campise,Liberto,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-21,4.5,orale
Sgarbi,Fortunata,5CIT,Religione Cattolica,2024-03-30,3.6,scritto
Matteotti,Patrizia,3BIT,Sistemi e Reti,2024-03-03,7.8,pratico
Tamburini,Gemma,4BIT,Lingua e Letteratura Italiana,2024-01-25,6.7,orale
Gemito,Ludovico,3BIT,Lingua Inglese,2023-10-07,9.1,scritto
Alighieri,Gabriele,5CIT,Storia,2023-10-08,7.5,pratico
Ceri,Augusto,4BIT,Religione Cattolica,2023-11-30,4.1,orale
Ceri,Augusto,4BIT,Lingua e Letteratura Italiana,2023-09-25,8.1,scritto
Seddio,Germana,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-15,7.6,scritto
Maderna,Laureano,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-09-27,4.8,scritto
Forza,Hugo,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-24,8.2,orale
Versace,Mattia,4BIT,Matematica,2023-10-27,9.9,orale
Cafarchia,Alessandro,3BIT,Religione Cattolica,2024-03-23,5.6,orale
Palmisano,Allegra,5CIT,Storia,2024-05-12,5.9,orale
Casini,Valentina,3BIT,Matematica,2024-06-01,5.0,scritto
Manolesso,Laura,3BIT,Sistemi e Reti,2024-02-10,4.8,orale
Ovadia,Telemaco,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-17,8.7,orale
Cipolla,Federica,3BIT,Sistemi e Reti,2023-11-14,4.0,orale
Anichini,Marcella,5CIT,Storia,2023-10-01,5.0,pratico
Monte,Berenice,3BIT,Matematica,2024-01-16,4.6,pratico
Monte,Berenice,3BIT,Informatica,2023-12-19,5.2,scritto
Cremonesi,Irma,3BIT,Scienze Motorie e Sportive,2024-06-05,3.5,pratico
Petrocelli,Manuel,4BIT,Lingua Inglese,2024-04-04,8.2,scritto
Cafarchia,Alessandro,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-01,9.7,orale
Rensi,Michelangelo,3BIT,Storia,2023-12-18,4.8,orale
Balotelli,Roberto,4BIT,Scienze Motorie e Sportive,2024-06-01,6.0,orale
Roero,Alberto,4BIT,Informatica,2024-02-22,4.1,pratico
Alfieri,Ivan,3BIT,Lingua Inglese,2024-04-04,8.8,scritto
Maderna,Laureano,5CIT,Religione Cattolica,2023-10-08,10.0,scritto
Vianello,Ezio,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-12,7.1,pratico
Pezzali,Saverio,5CIT,Informatica,2023-12-04,5.5,scritto
Delle,Fulvio,5CIT,Matematica,2024-05-12,5.7,orale
Benussi,Giorgio,4BIT,Sistemi e Reti,2024-04-05,9.1,orale
Lippomano,Alessandro,4BIT,Lingua e Letteratura Italiana,2024-04-22,5.1,scritto
Schiavo,Amedeo,5CIT,Lingua Inglese,2024-06-04,6.8,pratico
Bonaventura,Cecilia,4BIT,Scienze Motorie e Sportive,2024-01-11,4.5,pratico
Rensi,Michelangelo,3BIT,Religione Cattolica,2024-05-10,5.5,orale
Gianetti,Elisa,4BIT,Matematica,2023-11-01,7.8,pratico
Gonzaga,Ettore,5CIT,Lingua e Letteratura Italiana,2024-05-20,7.5,scritto
Versace,Mattia,4BIT,Lingua e Letteratura Italiana,2024-02-28,5.1,scritto
Peranda,Alina,3BIT,Religione Cattolica,2024-02-24,6.4,pratico
Pedrazzini,Atenulf,5CIT,Religione Cattolica,2023-10-03,3.7,scritto
Gianetti,Elisa,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-11,8.4,pratico
Monduzzi,Loredana,5CIT,Informatica,2024-04-28,3.0,scritto
Manolesso,Laura,3BIT,Lingua e Letteratura Italiana,2023-09-24,8.8,orale
Perini,Luigi,5CIT,Lingua e Letteratura Italiana,2024-03-14,3.0,scritto
Matteotti,Patrizia,3BIT,Scienze Motorie e Sportive,2023-09-23,3.5,pratico
Versace,Mattia,4BIT,Matematica,2024-04-03,8.9,pratico
Saraceno,Corrado,3BIT,Sistemi e Reti,2024-05-01,8.7,pratico
Satriani,Fulvio,4BIT,Lingua Inglese,2024-05-22,4.0,orale
Monduzzi,Loredana,5CIT,Lingua Inglese,2023-12-18,8.7,pratico
Alfieri,Ivan,3BIT,Lingua Inglese,2024-01-29,5.1,pratico
Pavanello,Marta,5CIT,Storia,2024-04-12,3.9,pratico
Anichini,Marcella,5CIT,Lingua Inglese,2024-05-23,3.4,orale
Pedrazzini,Atenulf,5CIT,Religione Cattolica,2023-10-27,3.4,scritto
Mezzetta,Marcello,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-13,8.6,pratico
Ricci,Rita,3BIT,Matematica,2023-11-20,3.2,scritto
Petrocelli,Manuel,4BIT,Lingua Inglese,2023-10-06,7.1,orale
Alfieri,Ivan,3BIT,Matematica,2023-12-21,4.6,pratico
Pezzali,Saverio,5CIT,Storia,2023-09-15,4.2,scritto
Antonelli,Maura,3BIT,Storia,2024-02-01,4.0,orale
Tamburini,Gemma,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-22,5.0,pratico
Pennetta,Griselda,5CIT,Matematica,2024-04-25,7.2,pratico
Tommaseo,Letizia,5CIT,Lingua e Letteratura Italiana,2024-04-24,3.1,pratico
Delle,Fulvio,5CIT,Matematica,2023-11-25,5.9,orale
Marrone,Lisa,3BIT,Storia,2023-09-24,4.2,orale
Monte,Berenice,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-09-26,4.4,pratico
Rensi,Michelangelo,3BIT,Lingua Inglese,2023-10-10,7.7,orale
Benussi,Giorgio,4BIT,Lingua e Letteratura Italiana,2023-10-27,9.6,scritto
Maderna,Laureano,5CIT,Sistemi e Reti,2024-01-25,3.0,pratico
Pavanello,Marta,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-03,6.2,pratico
Lippomano,Alessandro,4BIT,Religione Cattolica,2024-03-07,4.7,pratico
Natta,Ludovico,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-10,7.3,pratico
Campise,Liberto,3BIT,Informatica,2024-01-14,4.1,scritto
Blasi,Mirko,4BIT,Scienze Motorie e Sportive,2023-09-17,5.7,scritto
Ceri,Augusto,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-21,5.6,orale
Sgarbi,Fortunata,5CIT,Sistemi e Reti,2023-09-27,6.5,scritto
Gonzaga,Ettore,5CIT,Lingua Inglese,2024-02-25,5.0,pratico
Bajardi,Arturo,5CIT,Lingua Inglese,2024-02-18,9.9,scritto
Alighieri,Gabriele,5CIT,Scienze Motorie e Sportive,2024-04-11,8.8,pratico
Roero,Alberto,4BIT,Lingua Inglese,2024-03-20,6.0,pratico
Carfagna,Zaira,4BIT,Sistemi e Reti,2023-09-17,8.9,scritto
Matteotti,Patrizia,3BIT,Lingua Inglese,2023-09-20,6.9,scritto
Coardi,Franco,4BIT,Religione Cattolica,2024-04-17,8.6,orale
Ceri,Augusto,4BIT,Lingua e Letteratura Italiana,2024-02-06,5.4,pratico
Benedetti,Sophia,3BIT,Lingua Inglese,2024-02-29,7.5,scritto
Nicoletti,Roberta,3BIT,Informatica,2023-12-04,7.6,orale
Cremonesi,Irma,3BIT,Matematica,2024-06-04,8.8,scritto
Montalcini,Niccolò,5CIT,Informatica,2023-12-11,6.5,scritto
Saraceno,Corrado,3BIT,Religione Cattolica,2023-12-30,3.3,pratico
Taliani,Maurizio,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-25,7.0,pratico
Casini,Valentina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-02,8.8,orale
Lippomano,Alessandro,4BIT,Informatica,2024-01-16,7.5,orale
Bonaventura,Cecilia,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-09,6.6,scritto
Florio,Veronica,5CIT,Sistemi e Reti,2023-10-11,6.1,orale
Ovadia,Telemaco,5CIT,Storia,2024-06-05,9.0,scritto
Trentini,Matilda,4BIT,Informatica,2024-02-21,4.4,orale
Ricci,Rita,3BIT,Matematica,2024-05-07,5.8,orale
Ricci,Rita,3BIT,Lingua Inglese,2023-11-02,7.7,scritto
Anichini,Marcella,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-09-28,8.5,orale
Peranda,Alina,3BIT,Religione Cattolica,2024-05-18,6.6,pratico
Niscoromni,Ermes,4BIT,Storia,2023-09-15,8.1,scritto
Tommaseo,Letizia,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-18,8.6,scritto
Boito,Carla,5CIT,Scienze Motorie e Sportive,2023-11-08,9.7,orale
Crespi,Damiano,3BIT,Religione Cattolica,2023-11-16,9.7,pratico
Bonaventura,Cecilia,4BIT,Lingua e Letteratura Italiana,2023-11-04,9.8,orale
Marrone,Lisa,3BIT,Informatica,2024-03-25,9.3,orale
Valier,Carmelo,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-15,6.4,orale
Petrocelli,Manuel,4BIT,Scienze Motorie e Sportive,2024-05-25,7.1,scritto
Campise,Liberto,3BIT,Religione Cattolica,2024-02-17,9.5,scritto
Rubbia,Domenico,3BIT,Lingua Inglese,2023-11-28,3.2,orale
Cipolla,Federica,3BIT,Sistemi e Reti,2024-03-27,4.0,scritto
Vianello,Ezio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-16,7.7,scritto
Campise,Liberto,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-25,5.7,orale
Bajamonti,Tonino,3BIT,Scienze Motorie e Sportive,2024-02-25,8.7,scritto
Florio,Veronica,5CIT,Lingua Inglese,2023-11-19,5.1,pratico
Cipolla,Federica,3BIT,Scienze Motorie e Sportive,2024-04-07,9.9,scritto
Manolesso,Laura,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-10,6.5,scritto
Roero,Alberto,4BIT,Sistemi e Reti,2024-06-04,4.2,scritto
Saraceno,Corrado,3BIT,Matematica,2024-04-25,6.7,scritto
Lippomano,Alessandro,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-27,3.8,pratico
Pontecorvo,Mirko,5CIT,Scienze Motorie e Sportive,2023-12-18,6.2,scritto
Esposito,Maurilio,3BIT,Lingua e Letteratura Italiana,2023-11-13,6.9,pratico
Pennetta,Griselda,5CIT,Storia,2023-11-11,8.2,scritto
Alighieri,Gabriele,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-28,6.9,scritto
Saraceno,Corrado,3BIT,Informatica,2024-05-04,5.1,pratico
Nicoletti,Roberta,3BIT,Lingua Inglese,2024-01-05,8.3,pratico
Cipolla,Federica,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-03,5.3,scritto
Palmisano,Allegra,5CIT,Religione Cattolica,2023-09-27,4.2,pratico
Giorgetti,Alfredo,4BIT,Lingua Inglese,2023-10-26,4.4,scritto
Forza,Hugo,3BIT,Informatica,2023-11-13,9.4,scritto
Antonelli,Maura,3BIT,Lingua e Letteratura Italiana,2024-01-04,7.9,orale
Coardi,Franco,4BIT,Sistemi e Reti,2023-10-21,6.9,pratico
Antonelli,Maura,3BIT,Matematica,2024-03-22,8.7,scritto
Trentini,Matilda,4BIT,Informatica,2024-02-08,4.4,pratico
Pavanello,Marta,5CIT,Sistemi e Reti,2024-01-04,6.6,scritto
Giorgetti,Alfredo,4BIT,Sistemi e Reti,2023-09-19,5.7,orale
Giorgetti,Alfredo,4BIT,Scienze Motorie e Sportive,2023-10-03,9.5,pratico
Pezzali,Saverio,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-28,8.0,orale
Valier,Carmelo,4BIT,Informatica,2023-11-21,3.9,pratico
Giorgetti,Alfredo,4BIT,Matematica,2023-12-05,6.8,orale
Tommaseo,Letizia,5CIT,Religione Cattolica,2024-04-18,4.3,orale
Bajardi,Arturo,5CIT,Lingua e Letteratura Italiana,2023-12-03,9.9,pratico
Maderna,Laureano,5CIT,Storia,2023-12-25,5.5,scritto
Monduzzi,Loredana,5CIT,Lingua Inglese,2024-01-02,7.9,orale
Caffarelli,Luca,4BIT,Lingua Inglese,2023-12-12,6.3,pratico
Gianetti,Elisa,4BIT,Lingua Inglese,2024-01-18,7.0,scritto
Maderna,Laureano,5CIT,Storia,2024-05-26,5.3,orale
Monduzzi,Loredana,5CIT,Matematica,2024-02-25,6.0,orale
Bajardi,Arturo,5CIT,Storia,2023-12-24,5.1,orale
Benedetti,Sophia,3BIT,Informatica,2023-12-22,5.7,pratico
Valier,Carmelo,4BIT,Scienze Motorie e Sportive,2023-10-18,9.1,pratico
Soranzo,Raffaellino,4BIT,Storia,2023-12-18,6.9,scritto
Alfieri,Ivan,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-07,3.7,pratico
Pontecorvo,Mirko,5CIT,Informatica,2024-02-13,6.4,scritto
Coardi,Franco,4BIT,Religione Cattolica,2024-01-21,7.5,scritto
Zabarella,Fedele,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-26,6.4,scritto
Bajardi,Arturo,5CIT,Lingua e Letteratura Italiana,2024-02-18,3.6,orale
Matteotti,Patrizia,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-24,8.7,pratico
Gianetti,Elisa,4BIT,Informatica,2024-02-19,3.4,scritto
Trentini,Matilda,4BIT,Lingua e Letteratura Italiana,2024-04-30,7.9,orale
Ricci,Rita,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-02,3.2,orale
Petrocelli,Manuel,4BIT,Religione Cattolica,2023-10-30,7.6,scritto
Natta,Ludovico,5CIT,Sistemi e Reti,2023-11-16,9.3,scritto
Cremonesi,Irma,3BIT,Lingua e Letteratura Italiana,2024-03-22,5.0,pratico
Trentini,Matilda,4BIT,Scienze Motorie e Sportive,2024-04-22,5.3,scritto
Pennetta,Griselda,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-15,9.4,orale
Carocci,Emma,5CIT,Scienze Motorie e Sportive,2024-01-12,9.1,orale
Carocci,Emma,5CIT,Storia,2023-12-21,6.2,scritto
Soranzo,Raffaellino,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-02,4.9,scritto
Cipolla,Federica,3BIT,Storia,2024-01-11,9.3,orale
Matteotti,Patrizia,3BIT,Storia,2024-01-22,4.2,orale
Vianello,Ezio,4BIT,Scienze Motorie e Sportive,2024-04-14,5.0,pratico
Palmisano,Allegra,5CIT,Sistemi e Reti,2024-03-15,3.4,scritto
Niscoromni,Ermes,4BIT,Lingua e Letteratura Italiana,2024-01-08,6.8,orale
Dossetti,Liberto,4BIT,Scienze Motorie e Sportive,2023-10-30,8.8,scritto
Carocci,Emma,5CIT,Informatica,2024-05-22,9.8,scritto
Anichini,Marcella,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-07,9.9,pratico
Rensi,Michelangelo,3BIT,Sistemi e Reti,2023-12-27,8.7,pratico
Gentilini,Lina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-29,5.1,orale
Sgarbi,Fortunata,5CIT,Matematica,2023-11-11,6.1,pratico
Casini,Valentina,3BIT,Religione Cattolica,2023-12-07,5.7,pratico
Simeoni,Mirco,4BIT,Lingua e Letteratura Italiana,2023-11-22,7.2,orale
Seddio,Germana,3BIT,Informatica,2023-12-05,6.5,scritto
Benussi,Giorgio,4BIT,Sistemi e Reti,2023-12-11,8.2,orale
Peranda,Alina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-17,5.6,scritto
Gianetti,Elisa,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-22,8.2,orale
Bonaventura,Cecilia,4BIT,Informatica,2023-11-22,9.3,pratico
Petrocelli,Manuel,4BIT,Sistemi e Reti,2023-10-10,6.1,pratico
Mezzetta,Marcello,4BIT,Scienze Motorie e Sportive,2023-09-29,8.0,scritto
Saraceno,Corrado,3BIT,Informatica,2024-05-11,7.6,orale
Giorgetti,Alfredo,4BIT,Scienze Motorie e Sportive,2023-09-15,5.2,orale
Cremonesi,Irma,3BIT,Scienze Motorie e Sportive,2024-05-26,7.6,orale
Pedrazzini,Atenulf,5CIT,Informatica,2024-05-03,6.0,pratico
Rubbia,Domenico,3BIT,Storia,2023-12-04,8.5,orale
Alfieri,Ivan,3BIT,Storia,2024-04-13,4.8,scritto
Zabarella,Fedele,4BIT,Lingua Inglese,2023-10-07,9.6,pratico
Perini,Luigi,5CIT,Scienze Motorie e Sportive,2024-04-20,8.6,orale
Carocci,Emma,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-07,5.5,pratico
Zaccardo,Sandro,5CIT,Sistemi e Reti,2023-11-08,6.3,pratico
Montalcini,Niccolò,5CIT,Scienze Motorie e Sportive,2023-11-04,10.0,scritto
Ovadia,Telemaco,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-31,8.5,pratico
Alighieri,Gabriele,5CIT,Storia,2023-11-10,9.4,pratico
Bajardi,Arturo,5CIT,Lingua Inglese,2023-12-18,4.1,orale
Petrocelli,Anita,3BIT,Sistemi e Reti,2024-02-19,7.6,pratico
Fantoni,Alphons,5CIT,Storia,2023-11-20,6.6,pratico
Stefanelli,Amadeo,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-26,3.8,orale
Dossetti,Liberto,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-21,9.9,scritto
Saraceno,Corrado,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-06-06,6.3,pratico
Roero,Alberto,4BIT,Sistemi e Reti,2024-05-30,9.3,pratico
Boito,Carla,5CIT,Sistemi e Reti,2024-01-07,5.2,scritto
Tommaseo,Letizia,5CIT,Matematica,2023-10-21,4.4,pratico
Saraceno,Corrado,3BIT,Religione Cattolica,2024-01-29,3.6,pratico
Cremonesi,Irma,3BIT,Lingua e Letteratura Italiana,2023-12-14,9.8,pratico
Stefanelli,Amadeo,4BIT,Religione Cattolica,2023-10-06,8.4,scritto
Cimini,Tatiana,5CIT,Scienze Motorie e Sportive,2024-05-02,3.1,scritto
Palmisano,Allegra,5CIT,Storia,2024-05-19,9.4,scritto
Cimini,Tatiana,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-14,9.0,pratico
Monte,Berenice,3BIT,Storia,2023-11-18,5.0,pratico
Monte,Berenice,3BIT,Religione Cattolica,2024-05-04,5.1,orale
Crespi,Damiano,3BIT,Lingua e Letteratura Italiana,2023-10-15,6.2,scritto
Ceri,Augusto,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-21,4.5,scritto
Rensi,Michelangelo,3BIT,Religione Cattolica,2023-09-22,5.6,scritto
Gentilini,Lina,3BIT,Religione Cattolica,2023-11-20,6.9,scritto
Benedetti,Sophia,3BIT,Religione Cattolica,2024-05-30,9.8,scritto
Peranda,Alina,3BIT,Informatica,2024-04-30,5.1,pratico
Marrone,Lisa,3BIT,Matematica,2024-04-21,7.4,orale
Peranda,Alina,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-10,5.5,pratico
Seddio,Germana,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-29,4.0,scritto
Zacchia,Romina,4BIT,Scienze Motorie e Sportive,2024-04-05,3.8,pratico
Soranzo,Raffaellino,4BIT,Sistemi e Reti,2024-02-24,9.4,pratico
Forza,Hugo,3BIT,Religione Cattolica,2024-04-22,3.1,pratico
Fantoni,Alphons,5CIT,Religione Cattolica,2024-04-03,6.2,orale
Soranzo,Raffaellino,4BIT,Scienze Motorie e Sportive,2024-02-19,3.4,scritto
Caffarelli,Luca,4BIT,Scienze Motorie e Sportive,2023-11-20,7.5,pratico
Antonelli,Maura,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-07,6.7,orale
Balotelli,Roberto,4BIT,Scienze Motorie e Sportive,2024-02-11,6.6,orale
Petrocelli,Manuel,4BIT,Religione Cattolica,2023-10-17,9.2,pratico
Lippomano,Alessandro,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-09-20,5.7,orale
Lippomano,Alessandro,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-15,5.6,scritto
Carocci,Emma,5CIT,Lingua Inglese,2023-10-11,9.3,pratico
Pedrazzini,Atenulf,5CIT,Sistemi e Reti,2023-11-15,9.1,orale
Gemito,Ludovico,3BIT,Sistemi e Reti,2024-02-15,7.3,pratico
Valier,Carmelo,4BIT,Lingua e Letteratura Italiana,2024-05-18,6.1,pratico
Valier,Carmelo,4BIT,Storia,2024-01-26,6.6,scritto
Mezzetta,Marcello,4BIT,Lingua Inglese,2024-03-22,3.4,pratico
Bonaventura,Cecilia,4BIT,Matematica,2023-11-17,9.0,scritto
Antonelli,Maura,3BIT,Matematica,2023-11-25,8.8,scritto
Stefanelli,Amadeo,4BIT,Scienze Motorie e Sportive,2024-04-16,3.6,pratico
Montalcini,Niccolò,5CIT,Sistemi e Reti,2023-09-20,4.2,orale
Staglieno,Pierluigi,5CIT,Scienze Motorie e Sportive,2024-05-31,8.1,scritto
Montalcini,Niccolò,5CIT,Lingua e Letteratura Italiana,2023-09-22,3.1,scritto
Mezzetta,Marcello,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-12,4.8,scritto
Coardi,Franco,4BIT,Scienze Motorie e Sportive,2023-11-30,5.9,scritto
Casini,Valentina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-09,9.7,orale
Bajamonti,Tonino,3BIT,Sistemi e Reti,2024-01-05,7.0,pratico
Monduzzi,Loredana,5CIT,Storia,2024-02-19,6.0,scritto
Campise,Liberto,3BIT,Sistemi e Reti,2023-11-27,6.9,pratico
Tamburini,Gemma,4BIT,Informatica,2024-01-13,9.0,pratico
Schiavo,Amedeo,5CIT,Religione Cattolica,2024-01-27,5.1,scritto
Alfieri,Ivan,3BIT,Lingua e Letteratura Italiana,2023-12-22,8.2,orale
Crespi,Damiano,3BIT,Storia,2023-10-19,6.7,pratico
Pavanello,Marta,5CIT,Informatica,2024-01-28,7.4,orale
Benedetti,Sophia,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-15,8.8,pratico
Cremonesi,Irma,3BIT,Lingua Inglese,2024-04-26,4.5,scritto
Caffarelli,Luca,4BIT,Sistemi e Reti,2023-10-09,6.7,scritto
Bonaventura,Cecilia,4BIT,Lingua Inglese,2023-11-18,5.8,scritto
Marrone,Lisa,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-09,10.0,pratico
Florio,Veronica,5CIT,Informatica,2024-03-17,9.8,orale
Saraceno,Corrado,3BIT,Lingua Inglese,2024-04-09,4.7,orale
Esposito,Maurilio,3BIT,Lingua Inglese,2024-01-31,4.7,pratico
Tommaseo,Letizia,5CIT,Lingua e Letteratura Italiana,2024-04-05,8.9,orale
Carfagna,Zaira,4BIT,Lingua Inglese,2023-10-23,7.8,scritto
Gentilini,Lina,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-27,7.3,orale
Casini,Valentina,3BIT,Matematica,2023-11-17,8.5,pratico
Campise,Liberto,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-21,6.2,orale
Stefanelli,Amadeo,4BIT,Lingua e Letteratura Italiana,2023-10-04,6.9,orale
Vianello,Ezio,4BIT,Lingua e Letteratura Italiana,2023-11-25,4.1,orale
Petrocelli,Anita,3BIT,Informatica,2024-04-06,8.7,orale
Marrone,Lisa,3BIT,Religione Cattolica,2023-12-19,5.6,scritto
Campise,Liberto,3BIT,Lingua Inglese,2024-01-07,8.7,pratico
Blasi,Mirko,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-05,8.4,pratico
Alighieri,Gabriele,5CIT,Sistemi e Reti,2024-01-23,8.6,orale
Tommaseo,Letizia,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-12,7.0,pratico
Carfagna,Zaira,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-06,5.0,scritto
Niscoromni,Ermes,4BIT,Matematica,2023-12-25,3.3,scritto
Ceri,Augusto,4BIT,Lingua Inglese,2023-12-25,8.4,scritto
Boito,Carla,5CIT,Lingua Inglese,2024-05-15,7.6,pratico
Pennetta,Griselda,5CIT,Lingua Inglese,2023-11-18,9.9,pratico
Zabarella,Fedele,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-14,7.2,scritto
Petrocelli,Anita,3BIT,Lingua Inglese,2023-09-24,6.0,scritto
Pennetta,Griselda,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-26,6.4,scritto
Gentilini,Lina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-21,5.4,pratico
Soranzo,Raffaellino,4BIT,Lingua Inglese,2024-04-04,7.6,orale
Ovadia,Telemaco,5CIT,Lingua e Letteratura Italiana,2024-03-29,9.0,pratico
Esposito,Maurilio,3BIT,Lingua e Letteratura Italiana,2023-12-25,4.0,orale
